methods,rouge1,rougeL,semantic_sim,LCS(character),LCS(word),ACS(word),Levenshtein Distance,Minhash Similarity,average
vanilla,0.24066666666666653,0.22133333333333313,0.26666666666666644,0.19599999999999984,0.10266666666666678,0.1293333333333335,0.3320000000000002,0.266,0.21933333333333332
sys_prompt,0.5773333333333331,0.5886666666666668,0.7226666666666663,0.6253333333333331,0.47733333333333344,0.5193333333333332,0.4760000000000001,0.5426666666666666,0.5661666666666666
top_k,0.6160000000000002,0.6440000000000001,0.5046666666666663,0.5079999999999995,0.46866666666666584,0.5073333333333326,0.5833333333333334,0.5613333333333329,0.5491666666666662
mem_free,0.5026666666666668,0.48333333333333356,0.4466666666666667,0.4073333333333335,0.41133333333333355,0.378,0.5400000000000001,0.49133333333333357,0.4575833333333335
